2,2.15,3.15,5.15,6.15,7.15,6.15,2.15
3,1.28,2.23,4.18,5.16,6.13,5.16,1.28
4,0.8,1.7,3.6,4.56,5.5,4.56,0.8
5,0.5,1.35,3.2,4.14,5.05,4.14,0.5
6,0.31,1.11,2.91,3.83,4.71,3.83,0.31
7,0.19,0.94,2.69,3.59,4.44,3.59,0.19
8,0.12,0.82,2.52,3.4,4.22,3.4,0.12
9,0.09,0.74,2.39,3.25,4.04,3.25,0.09
10,0.08,0.68,2.28,3.12,3.88,3.12,0.08
11,0.04,0.64,2.19,3.01,3.74,3.01,0.04
12,0.02,0.62,2.12,2.92,3.62,2.92,0.02
13,0.01,0.61,2.06,2.84,3.51,2.84,0.01
14,0.01,0.57,2.02,2.78,3.42,2.78,0.01
15,0.01,0.53,1.98,2.72,3.33,2.72,0.01
16,0.01,0.5,1.95,2.67,3.25,2.67,0.01
17,0.01,0.47,1.92,2.62,3.17,2.62,0.01
18,0.01,0.45,1.9,2.58,3.1,2.58,0.01
19,0.01,0.44,1.89,2.55,3.04,2.55,0.01
20,0.01,0.4,1.85,2.49,2.95,2.49,0.01
